,feature,feature_type,fold-1,fold-2,model
1,,,0.444229911097381,0.5330307073307023,CART
2,,,0.8030885349492266,0.7961109969158271,Gradient Boosting
3,,,0.6824941091979848,0.6884431510864756,RandomForest
0,,,0.8241349284999026,0.7801308573364577,SVC
1,,,0.4731857736818758,0.606298616698525,CART
2,,,0.8064493393648542,0.7956695853658804,Gradient Boosting
3,,,0.518138216009861,0.5664198550768214,RandomForest
0,,,0.8241349284999026,0.7801308573364577,SVC
1,,,0.4773686120646998,0.4623245927320286,CART
2,,,0.8046385221787733,0.7966673814593441,Gradient Boosting
3,,,0.5758287021262068,0.5372258330439416,RandomForest
0,,,0.8241349284999026,0.7801308573364577,SVC
1,,,0.4729825284042152,0.5230015586641966,CART
2,,,0.812653103621378,0.7959967179109582,Gradient Boosting
3,,,0.660340733798103,0.5590954088124979,RandomForest
0,,,0.8241349284999026,0.7801308573364577,SVC
1,,,0.5544496370247134,0.4543809895919725,CART
2,,,0.8045822693348172,0.7982197644289278,Gradient Boosting
3,,,0.6094895744957646,0.7078128431516388,RandomForest
0,,,0.8241349284999026,0.7801308573364577,SVC
1,,,0.47350854665828845,0.4309530071247025,CART
2,,,0.8048163852531353,0.7980039841655175,Gradient Boosting
3,,,0.6715769312724845,0.6869463429844347,RandomForest
