,feature,feature_type,fold-1,fold-2,model
0,description,,0.5862068965517241,0.6419753086419752,SVC
1,description,,0.5398773006134969,0.5888324873096447,CART
0,description,,0.582857142857143,0.6545454545454547,SVC
1,description,,0.5856353591160222,0.5898617511520737,CART
0,,description-job_title,0.6802030456852792,0.6774193548387097,SVC
1,,description-job_title,0.5357142857142856,0.6530612244897959,CART
0,,description-job_title,0.4779874213836478,0.5066666666666667,SVC
1,,description-job_title,0.4779874213836478,0.5066666666666667,CART
0,,,0.7272727272727272,0.6771653543307087,SVC
1,,,0.5562913907284769,0.6379310344827587,CART
2,,,0.4313725490196079,0.4220183486238532,NB
0,,,0.7272727272727272,0.6771653543307087,SVC
1,,,0.5507246376811594,0.6324786324786325,CART
2,,,0.4313725490196079,0.4220183486238532,NB
0,,,0.7272727272727272,0.6771653543307087,SVC
1,,,0.5555555555555556,0.6206896551724138,CART
2,,,0.4313725490196079,0.4220183486238532,NB
3,,,0.6562499999999999,0.6428571428571429,Gradient Boosting
0,,,0.7272727272727272,0.6771653543307087,SVC
1,,,0.5507246376811594,0.6557377049180328,CART
2,,,0.4313725490196079,0.4220183486238532,NB
3,,,0.6562499999999999,0.6666666666666666,Gradient Boosting
0,,,0.7791044776119403,0.7335329341317365,SVC
1,,,0.7223880597014926,0.7365269461077845,CART
2,,,0.7552238805970151,0.7514970059880239,NB
3,,,0.7761194029850746,0.7634730538922155,Gradient Boosting
0,,,0.7786458333333334,0.7605263157894737,SVC
1,,,0.75,0.7342105263157894,CART
2,,,0.734375,0.7578947368421053,NB
3,,,0.7552083333333334,0.7684210526315789,Gradient Boosting
0,,,0.6031746031746031,0.6938775510204082,SVC
1,,,0.562874251497006,0.5341614906832298,CART
2,,,0.5039370078740157,0.3448275862068965,NB
3,,,0.6621621621621622,0.6307692307692309,Gradient Boosting
0,,,0.7863247863247863,0.8710601719197708,SVC
1,,,0.8091168091168092,0.8166189111747851,CART
2,,,0.8205128205128205,0.7822349570200573,NB
3,,,0.8547008547008547,0.8653295128939829,Gradient Boosting
0,,,0.7863247863247863,0.8710601719197708,SVC
1,,,0.7777777777777778,0.8252148997134671,CART
2,,,0.8205128205128205,0.7822349570200573,NB
3,,,0.8603988603988604,0.8624641833810889,Gradient Boosting
0,,,0.7863247863247863,0.8710601719197708,SVC
1,,,0.811965811965812,0.7908309455587392,CART
2,,,0.8205128205128205,0.7822349570200573,NB
3,,,0.8632478632478633,0.8595988538681948,Gradient Boosting
0,,,0.7863247863247863,0.8710601719197708,SVC
1,,,0.8091168091168092,0.8137535816618912,CART
2,,,0.8205128205128205,0.7822349570200573,NB
3,,,0.8575498575498576,0.8624641833810889,Gradient Boosting
0,,,0.8991188635137566,0.8933041015803416,SVC
1,,,0.6885002697356589,0.6840686946195305,CART
2,,,0.6703830246358569,0.5957339910477757,NB
3,,,0.9062443805071032,0.8864985840869644,Gradient Boosting
0,,,0.7697312062531647,0.7847154526696906,SVC
1,,,0.3823355437252888,0.4666847312913022,CART
2,,,0.42569344978983537,0.3211224527549506,NB
3,,,0.7399973972663109,0.7762849968851561,Gradient Boosting
0,,,0.7697312062531647,0.7847154526696906,SVC
1,,,0.4741294846335723,0.5017672492121715,CART
2,,,0.42569344978983537,0.3211224527549506,NB
3,,,0.7307177240221676,0.77432704546366,Gradient Boosting
0,,,0.7697312062531647,0.7847154526696906,SVC
1,,,0.4072518218589617,0.4772827558273442,CART
2,,,0.42569344978983537,0.3211224527549506,NB
3,,,0.7439549592364493,0.7733661884918408,Gradient Boosting
0,,,0.7697312062531647,0.7847154526696906,SVC
1,,,0.7364581573998942,0.7717557122239576,Gradient Boosting
0,,,0.7697312062531647,0.7847154526696906,SVC
1,,,0.7341752982505492,0.7750418315795495,Gradient Boosting
0,,,0.7697312062531647,0.7847154526696906,SVC
1,,,0.7349746635082104,0.7728629199594562,Gradient Boosting
0,,,0.7601077126432674,0.7782259532199,SVC
1,,,0.3729962585384272,0.5119404121413337,CART
2,,,0.7355779398867335,0.776286393502797,Gradient Boosting
0,,,0.8103215577085573,0.7934648222303488,SVC
1,,,0.5219674002042709,0.5007669317194791,CART
2,,,0.8011691951465327,0.8058147134046278,Gradient Boosting
0,,,0.8103215577085573,0.7934648222303488,SVC
1,,,0.5219674002042709,0.498814931661392,CART
2,,,0.8006694201421838,0.8013557384304143,Gradient Boosting
0,,,0.8040178147308608,0.7641265359572057,SVC
1,,,0.5217127953998878,0.5607286636263706,CART
2,,,0.7684966473725507,0.8023614477099937,Gradient Boosting
0,,,0.8241349284999026,0.7801308573364577,SVC
